ds,yhat,yhat_lower,yhat_upper
2005-01-31,3912469.077804306,3110893.7587220916,4774038.7409825465
2005-02-28,4617953.221732961,3778262.644930117,5452831.434434081
2005-03-31,6382753.992875563,5495550.29789285,7186330.393004655
2005-04-30,6045585.325074081,5223259.68028238,6898944.697366178
2005-05-31,6326520.847117025,5461805.464511052,7158759.568548382
2005-06-30,6239909.54280842,5329671.956418828,7058194.704751393
2005-07-31,6825812.585437429,5994393.3858301705,7665445.305597439
2005-08-31,7199608.071861488,6369482.501612187,8116550.059246035
2005-09-30,6478226.295977357,5586826.6785771325,7318188.044781466
2005-10-31,6449664.372106597,5675056.617489574,7266380.2405290725
2005-11-30,5654250.016563608,4755047.742073775,6512273.022088425
2005-12-31,5427506.349577323,4591265.087982047,6267645.7529480755
2006-01-31,4231286.136282897,3345984.186742818,5097231.585413531
2006-02-28,5082484.332166346,4241821.333072102,5894237.272782398
2006-03-31,6795079.072058576,5917146.47820961,7657449.1740314495
2006-04-30,6394285.606091696,5540455.842345207,7222590.932225688
2006-05-31,6629961.128186341,5762078.319505494,7454649.027734319
2006-06-30,6650347.835126705,5843810.824940417,7541736.385378657
2006-07-31,7276015.075869475,6436906.154911503,8076888.045131292
2006-08-31,7535567.7454314865,6705630.677235131,8332958.647820146
2006-09-30,6832805.671519411,6001049.903265393,7673988.952787984
2006-10-31,6925246.776923609,6102279.7653198335,7802634.535981201
2006-11-30,6018175.178584524,5130566.322317854,6844715.991147881
2006-12-31,5776146.039733551,4973577.044502529,6669304.618714363
2007-01-31,4552116.414706399,3730699.988265612,5435647.301036439
2007-02-28,5548026.47046009,4697991.845423631,6405799.515116363
2007-03-31,7205234.074330763,6326613.981224017,7925116.066843923
2007-04-30,6741388.890772381,5951661.812445063,7592434.481125489
2007-05-31,6934162.108888465,6029570.869083122,7755884.008549618
2007-06-30,7062820.984059761,6307840.436633489,7882431.981903802
2007-07-31,7725463.608953426,6880775.005912116,8569012.645371715
2007-08-31,7870293.278480557,7050674.373299322,8698568.473817348
2007-09-30,7188981.774065226,6408664.950809963,7947916.127837863
2007-10-31,7400672.103898127,6546888.404636403,8199607.3092411915
2007-11-30,6380404.566316254,5560795.078430166,7249616.546915967
2007-12-31,6124152.793516515,5302451.6334056845,6961132.333823822
2008-01-31,4875031.09613763,4025598.025670214,5726317.659811018
2008-02-29,5686607.285286619,4900960.015174286,6551726.942671338
2008-03-31,7500378.5497309975,6686398.804484409,8323765.373377256
2008-04-30,7227291.641534322,6373312.929696265,8084375.23151421
2008-05-31,7555804.379588896,6749601.376878989,8464385.72244443
2008-06-30,7363598.154433233,6528304.900661197,8210923.397069014
2008-07-31,7907015.811656936,7106479.859406145,8743017.295840928
2008-08-31,8394477.545607667,7550206.359102559,9238128.10745507
2008-09-30,7657349.674064793,6775612.007324588,8474967.546751142
2008-10-31,7506165.746985568,6623268.982647022,8345863.304613137
2008-11-30,6820783.120567792,5979550.347875197,7670949.230007207
2008-12-31,6610358.313222852,5789902.681843469,7516081.175096139
2009-01-31,5444689.180939533,4658519.51957125,6313046.017196029
2009-02-28,6150488.98621992,5331914.522114613,6989284.776405787
2009-03-31,7915639.239573658,7105901.728609158,8666252.12842721
2009-04-30,7578808.780363227,6731940.488539049,8423186.534853911
2009-05-31,7860093.784616997,7008043.658710107,8623441.080644634
2009-06-30,7773820.688899066,6940945.20465254,8596243.078223573
2009-07-31,8360073.213738138,7487100.03014482,9137763.402723256
2009-08-31,8734218.18237301,7844115.835777898,9590145.60913914
2009-09-30,8013174.626356691,7119869.876897003,8880360.61929694
2009-10-31,7984962.1963484185,7192232.669632065,8784428.161248324
2009-11-30,7189886.060672433,6368879.89655164,8073380.460030188
2009-12-31,6963491.887548377,6141460.253305669,7707230.081166139
2010-01-31,5767621.168116307,4981451.259528872,6605664.427815398
2010-02-28,6619135.035876336,5771339.084519886,7455579.340996402
2010-03-31,8332079.269630706,7456442.671852827,9167581.245918076
2010-04-30,7931624.023490761,7056499.031444183,8716168.400931465
2010-05-31,8167649.039405554,7365142.289495481,9000859.079091063
2010-06-30,8188373.966170438,7317767.174892955,9015587.592279313
2010-07-31,8814390.700733813,7968591.254114009,9644225.762124378
2010-08-31,9074292.86411673,8255973.64852702,9826563.645707462
2010-09-30,8371869.01003063,7565561.34672576,9285184.41324446
2010-10-31,8464659.6091967,7599706.984914906,9295862.177160319
2010-11-30,7557926.224705735,6662384.263532048,8381220.661654058
2010-12-31,7316246.573498049,6535578.49618551,8171285.299326086
2011-01-31,6092566.436112925,5290266.752916557,6947312.496695448
2011-02-28,7088792.158124449,6299431.8821504805,7952154.664164505
2011-03-31,8746349.249637792,7926229.038066702,9596938.731808541
2011-04-30,8282842.279926691,7433995.179002497,9163541.965955919
2011-05-31,8475964.985296715,7600154.960112198,9284184.452952357
2011-06-30,8604962.073939668,7815576.553484898,9376609.516657682
2011-07-31,9267954.186086936,8446960.779635644,10132835.432621412
2011-08-31,9413133.34286823,8522426.82975176,10249007.729123699
2011-09-30,8732160.051924175,7876843.297753308,9622210.366537835
2011-10-31,8944199.869010182,8114450.330008919,9770431.196699321
2011-11-30,7924270.544900399,7074108.40027054,8767816.212988656
2011-12-31,7668368.242311457,6877228.776723576,8527477.230255287
2012-01-31,6419596.015142228,5540484.460472853,7254640.744629403
2012-02-29,7231499.128036847,6446731.929221635,8070740.592793241
2012-03-31,9045619.862690857,8205649.20574593,9829556.89096978
2012-04-30,8772871.151472412,7896513.929984765,9569822.048744151
2012-05-31,9101733.359736884,8261643.1610661615,9990054.66295182
2012-06-30,8909865.33155911,8077914.404655451,9675274.08351718
2012-07-31,9453609.382861426,8680356.520535506,10291574.465891698
2012-08-31,9941397.51089186,9128021.790492943,10744328.294110183
2012-09-30,9204585.504587281,8391256.836149618,10080599.444878235
2012-10-31,9053727.971586322,8234843.80519952,9918486.40566358
2012-11-30,8368661.210407466,7532753.526783592,9231409.193392014
2012-12-31,8158562.797141419,7350123.521867694,8931574.123461125
2013-01-31,6993220.058937066,6178924.645759634,7799793.391485959
2013-02-28,7699019.875269433,6870060.885569811,8520693.523640878
2013-03-31,9464170.140857939,8621458.924906442,10308713.192298522
